gene	in_raghunath	in_baxter	in_gwas	in_bajpai	n_studies	chrom	start	end	strand	ensembl_id	coord_source	reference_genome
CCDC22	0	0	0	1	1	X	49235444	49250526	+	ENSG00000101997	mygene.info	GRCh38
MSN	1	0	0	0	1	chrX	65578377	65751936			gene_regions_bed	GRCh38
OPHN1	0	1	0	0	1	X	67949349	68434120	-	ENSG00000079482	mygene.info	GRCh38
EDA	0	1	0	0	1	X	69616067	70039472	+	ENSG00000158813	mygene.info	GRCh38
MED12	0	1	0	0	1	X	71118543	71144103	+	ENSG00000184634	mygene.info	GRCh38
CITED1	0	1	0	0	1	X	72301638	72309652	-	ENSG00000125931	mygene.info	GRCh38
SLC16A2	0	1	0	0	1	X	74421383	74533918	+	ENSG00000147100	mygene.info	GRCh38
ATP7A	0	1	0	0	1	X	77910690	78050395	+	ENSG00000165240	mygene.info	GRCh38
NOX1	1	0	0	0	1	chrX	100833324	100884464			gene_regions_bed	GRCh38
PRPS1	0	1	0	0	1	X	107628428	107651993	+	ENSG00000147224	mygene.info	GRCh38
ALG13	0	1	0	0	1	X	111665811	111760649	+	ENSG00000101901	mygene.info	GRCh38
OCRL	0	1	0	0	1	X	129539849	129592561	+	ENSG00000122126	mygene.info	GRCh38
GPC3	0	1	0	0	1	X	133535745	133987100	-	ENSG00000147257	mygene.info	GRCh38
FHL1	0	1	0	0	1	X	136146702	136211359	+	ENSG00000022267	mygene.info	GRCh38
FMR1	0	1	0	0	1	X	147911858	147951125	+	ENSG00000102081	mygene.info	GRCh38
IDS	0	1	0	0	1	X	149476988	149521096	-	ENSG00000010404	mygene.info	GRCh38
NSDHL	0	1	0	0	1	X	152830967	152869729	+	ENSG00000147383	mygene.info	GRCh38
NAA10	0	1	0	0	1	X	153929225	153935080	-	ENSG00000102030	mygene.info	GRCh38
FLNA	0	1	0	0	1	X	154348524	154374638	-	ENSG00000196924	mygene.info	GRCh38
ATP6AP1	0	1	0	0	1	X	154428618	154436517	+	ENSG00000071553	mygene.info	GRCh38
IKBKG	0	1	0	0	1	X	154541179	154565047	+	ENSG00000269335	mygene.info	GRCh38
DKC1	0	1	0	0	1	X	154762742	154777697	+	ENSG00000130826	mygene.info	GRCh38
F8A1	0	0	0	1	1	X	154886355	154888061	+	ENSG00000288722	mygene.info	GRCh38
F8A3	0	0	0	1	1	X	155456914	155458620	-	ENSG00000277150	mygene.info	GRCh38
VAMP7	0	1	0	0	1	X	155881227	155943769	+	ENSG00000124333	mygene.info	GRCh38
CSF2RA	1	0	0	0	1	chrY	1258779	1335373			gene_regions_bed	GRCh38
AC002398.9	0	0	0	1	1						not_found	
AS1	0	0	1	0	1						not_found	
ATP6V1E1 / ATP6V1E2	0	1	0	0	1						not_found	
C10ORF11	0	0	0	1	1						not_found	
C11ORF30	0	0	0	1	1						not_found	
C16ORF62	0	0	0	1	1						not_found	
C16ORF80	0	0	0	1	1						not_found	
C8ORF37	0	1	0	0	1						not_found	
C9ORF66	0	0	1	0	1						not_found	
C9ORF91	0	0	0	1	1						not_found	
CARS	0	1	0	0	1						not_found	
CCDC53	0	0	0	1	1						not_found	
CDC25A / CDC25B	0	1	0	0	1						not_found	
CTC-507E12.1	0	0	1	0	1						not_found	
DSCR3	0	0	0	1	1						not_found	
FAM57B	0	1	0	0	1						not_found	
GLTSCR1	0	0	0	1	1						not_found	
GPR89A / GPR89B	0	1	0	0	1						not_found	
H3F3A	0	1	0	0	1						not_found	
IKBKA	1	0	0	0	1						not_found	
IL8	1	0	0	0	1						not_found	
IRAK1_ACTIVE	1	0	0	0	1						not_found	
KIAA0196	0	0	0	1	1						not_found	
KIAA1033	0	0	0	1	1						not_found	
KIRREL	0	0	0	1	1						not_found	
LNC01877	0	0	1	0	1						not_found	
MATP	0	0	1	0	1						not_found	
MPP5	0	1	0	0	1						not_found	
NFAT2	1	0	0	0	1						not_found	
RP11-341G5.1	0	0	1	0	1						not_found	
SELT	0	0	0	1	1						not_found	
SMEK1	0	0	0	1	1						not_found	
TMEM30A	0	0	0	1	1						not_found	
